### 未闻花名	简谱 | 频率

时间 (秒)     | 原始频率      | 简化音符

0.34            | 278.79          | Re (D4)
0.35            | 270.85          | Do (C4)
0.43            | 285.30          | Re (D4)
0.45            | 314.74          | Mi (E4)
0.48            | 347.22          | Fa (F4)
0.52            | 372.14          | So (G4)
0.59            | 367.86          | Fa (F4)
0.62            | 316.57          | Mi (E4)
0.63            | 307.55          | Re (D4)
0.66            | 327.73          | Mi (E4)
0.73            | 412.91          | So (G4)
0.74            | 422.56          | La (A4)
0.85            | 415.30          | So (G4)
0.95            | 417.71          | La (A4)
1.22            | 468.86          | Ti (B4)
1.31            | 466.16          | La (A4)
1.36            | 468.86          | Ti (B4)
1.42            | 466.16          | La (A4)
1.54            | 468.86          | Ti (B4)
1.56            | 466.16          | La (A4)
1.71            | 468.86          | Ti (B4)
1.75            | 466.16          | La (A4)
1.83            | 412.91          | So (G4)
1.95            | 417.71          | La (A4)
2.11            | 471.58          | Ti (B4)
2.25            | 466.16          | La (A4)
2.58            | 415.30          | So (G4)
2.59            | 417.71          | La (A4)
2.77            | 468.86          | Ti (B4)
2.91            | 466.16          | La (A4)
3.08            | 415.30          | So (G4)
3.20            | 417.71          | La (A4)
3.27            | 415.30          | So (G4)
3.36            | 417.71          | La (A4)
3.56            | 415.30          | So (G4)
3.70            | 417.71          | La (A4)
3.97            | 415.30          | So (G4)
4.03            | 417.71          | La (A4)
4.35            | 369.99          | Fa (F4)
4.39            | 372.14          | So (G4)
4.60            | 417.71          | La (A4)
4.62            | 415.30          | So (G4)
4.89            | 369.99          | Fa (F4)
5.05            | 372.14          | So (G4)
5.14            | 369.99          | Fa (F4)
5.25            | 374.29          | So (G4)
5.27            | 367.86          | Fa (F4)
5.50            | 372.14          | So (G4)
5.77            | 369.99          | Fa (F4)
5.87            | 374.29          | So (G4)
5.93            | 369.99          | Fa (F4)
6.28            | 372.14          | So (G4)
6.62            | 277.18          | Do (C4)
6.66            | 278.79          | Re (D4)
6.68            | 277.18          | Do (C4)
6.72            | 280.40          | Re (D4)
6.79            | 277.18          | Do (C4)
6.84            | 278.79          | Re (D4)
6.91            | 277.18          | Do (C4)
6.99            | 278.79          | Re (D4)
7.08            | 275.59          | Do (C4)
7.19            | 282.03          | Re (D4)
7.50            | 277.18          | Do (C4)
7.52            | 278.79          | Re (D4)
